incident_id,date,location_id,category,description,status,customer_id,satisfaction_score,reporter_id
BRS-000001,2026-08-01,COL-01,CUSTOMER_COMPLAINT,Customer complained about delayed table service during peak dinner rush,CLOSED,CLI-100000,1,MGR-01
BRS-000002,2026-08-02,COL-02,CUSTOMER_COMPLAINT,Diner reported waiter was inattentive and mixed up the side order,CLOSED,CLI-100037,1,MGR-02
BRS-000003,2026-08-03,COL-03,CUSTOMER_COMPLAINT,Customer upset about long wait time for takeout order pickup,CLOSED,CLI-100074,1,MGR-03
BRS-000004,2026-08-04,COL-04,CUSTOMER_COMPLAINT,Guest noted that the seating area was excessively noisy near the kitchen,CLOSED,CLI-100111,1,MGR-04
BRS-000005,2026-08-05,COL-05,CUSTOMER_COMPLAINT,Customer requested refund due to billing discrepancy on receipt,CLOSED,CLI-100148,2,MGR-05
BRS-000006,2026-08-06,COL-06,CUSTOMER_COMPLAINT,Patron mentioned air conditioning was set too cold in the dining room,CLOSED,CLI-100185,2,MGR-06
BRS-000007,2026-08-07,COL-07,CUSTOMER_COMPLAINT,Customer reported table was not properly wiped down prior to seating,CLOSED,CLI-100222,2,MGR-07
BRS-000008,2026-08-08,COL-08,CUSTOMER_COMPLAINT,Guest felt server was rushed and did not explain menu specials clearly,CLOSED,CLI-100259,2,MGR-08
BRS-000009,2026-08-09,COL-09,CUSTOMER_COMPLAINT,Online order placed through website was ready 20 minutes past estimate,CLOSED,CLI-100296,2,MGR-09
BRS-000010,2026-08-10,COL-10,CUSTOMER_COMPLAINT,Customer complained about parking validation process at the mall location,CLOSED,CLI-100333,2,MGR-10
BRS-000011,2026-08-11,FLA-01,CUSTOMER_COMPLAINT,Guest disputed additional charge for extra hogao dipping sauce,CLOSED,CLI-100370,3,MGR-11
BRS-000012,2026-08-12,FLA-02,CUSTOMER_COMPLAINT,Customer reported beverage was served lukewarm without ice,CLOSED,CLI-100407,3,MGR-12
BRS-000013,2026-08-13,FLA-03,CUSTOMER_COMPLAINT,Diner noted delay in receiving dessert and final check,CLOSED,CLI-100444,3,MGR-13
BRS-000014,2026-08-14,FLA-04,CUSTOMER_COMPLAINT,Customer felt host was impolite when assigning high-top bar table,CLOSED,CLI-100481,3,MGR-14
BRS-000015,2026-08-15,COL-01,CUSTOMER_COMPLAINT,Guest complained of draft near front entrance during rainy evening,CLOSED,CLI-100518,3,MGR-01
BRS-000016,2026-08-16,COL-02,CUSTOMER_COMPLAINT,Customer experienced app glitch while attempting to redeem loyalty points,CLOSED,CLI-100555,3,MGR-02
BRS-000017,2026-08-17,COL-03,CUSTOMER_COMPLAINT,Patron noted kids menu options were not provided upon request,CLOSED,CLI-100592,3,MGR-03
BRS-000018,2026-08-18,COL-04,CUSTOMER_COMPLAINT,Customer reported delay in getting water refills during lunch peak,CLOSED,CLI-100629,3,MGR-04
BRS-000019,2026-08-19,COL-05,CUSTOMER_COMPLAINT,Diner complained about incorrect dressing served with side avocado salad,CLOSED,CLI-100666,3,MGR-05
